codigo1,DESCRIPCION_CIEX
A010  ,Fiebre Tifoidea                                                                                     
A049  ,Infeccion Intestinal Bacteriana                                                 
A059  ,Intoxicacion Alimentaria Bacteriana                                             
A060  ,Disenteria Amebiana Aguda                                                                           
A081  ,Gastroenteropatia Aguda debida al Agente de Norwalk                                                 
A085  ,Otras Infecciones Intestinales Especificadas                                                        
A090  ,Otras gastroenteritis y colitis no especificadas de origen infeccioso                               
A099  ,Gastroenteritis y colitis de origen no especificada                                                 
A09X  ,Infecciones Intestinales debidas a otros Organismos sin Especificar                                 
A169  ,TBC Respiratoria no Especificada / TBC Pulmonar sin Baciloscopia                                    
A64X5 ,Sindrome de Dolor Abdominal Bajo                                                                    
A64X9 ,Sindrome de Flujo Vaginal                                                                           
B001  ,Dermatitis Vesicular Herpetica                                                                      
B002  ,Gingivoestomatitis y Faringoamigdalitis Herpetica                                                   
B012  ,Neumonia debida a Varicela (J17.1*)                                                                 
B019  ,Varicela sin Complicaciones                                                                         
B029  ,Herpes Zoster sin Complicaciones                                                                    
B07X  ,Verrugas Viricas                                                                                    
B085  ,Faringitis Vesicular Enterovirica                                                                   
B150  ,Hepatitis Aguda Tipo A - con Coma Hepatico                                                           
B159  ,Hepatitis Aguda Tipo A - sin Coma Hepatico                                                           
B179  ,Hepatitis viral aguda                                                           
B353  ,Tina del Pie [Tinea Pedis]                                                                          
B369  ,Micosis Superficial - sin otra Especificacion                                                        
B373  ,Candidiasis Vaginal                                                                                 
B463  ,Mucormicosis Cutanea                                                                                
B49X  ,Micosis                                                                         
B551  ,Leishmaniasis Cutanea o Uta                                                                         
B690  ,Cisticercosis del Sistema Nervioso Central                                                          
B829  ,Parasitosis Intestinal - sin otra Especificacion                                                     
B86X  ,Escabiosis                                                                                          
B880  ,Otras Acariasis                                                                                     
B968  ,Otros Agentes Bacterianos Especificados como causa de Enfermedades Clasificadas en Otros            
C008  ,Lesion de Sitios Contiguos del Labio                                                                
C23X  ,Tumor Maligno de la Vesicula Biliar                                                                 
C540  ,Tumor Maligno del Istmo Uterino                                                                     
C61X  ,Tumor Maligno de la Prostata                                                                        
C64X  ,Tumor Maligno del Rinon - Excepto de la Pelvis Renal                                                 
C785  ,Tumor Maligno Secundario del Intestino Grueso y del Recto                                           
D110  ,Tumor Benigno de la Glandula Parotida                                                               
D173  ,Tumor Benigno Lipomatoso de Piel y de Tejido Subcutaneo de otros Sitios y de los no Espe            
D180  ,Hemangioma - de Cualquier Sitio                                                                      
D310  ,Tumor Benigno de la Conjuntiva                                                                      
D391  ,Tumor de Comportamiento Incierto o desconocido del Ovario                                           
D500  ,Anemia por deficiencia de Hierro Secundaria a Perdida de Sangre (Cronica)                           
D509  ,Anemia por deficiencia de Hierro sin Especificacion                                                 
E110  ,Diabetes Mellitus no Insulinodependiente - con Coma                                                  
E119  ,Diabetes Mellitus no Insulinodependiente - sin Mencion de Complicacion                               
E144  ,Diabetes Mellitus - no Especificada - con Complicaciones Neurologicas                                 
E162  ,Hipoglicemia                                                                    
E43X  ,Desnutricion Proteicocalorica Severa                                            
E440  ,Desnutricion Proteicocalorica Moderada                                                              
E45X  ,Retardo del desarrollo debido a desnutrici¢n proteicocal¢rica                                       
E46X  ,Desnutricion Proteicocalorica no Especificada                                                       
E65X  ,Adiposidad Localizada                                                                               
E660  ,Sobrepeso                                                                                           
E669  ,Obesidad                                                                                            
E709  ,Trastorno del Metabolismo de los Aminoacidos Aromaticos                             
E725  ,Trastornos del Metabolismo de la Glicina                                                            
E755  ,Otros Trastornos del Almacenamiento de Lipidos                                                      
E780  ,Hipercolesterolemia Pura                                                                            
E781  ,Hipergliceridemia Pura                                                                              
E785  ,Hiperlipidemia no Especificada                                                                      
E786  ,Deficiencia de Lipoproteinas                                                                        
E789  ,Trastorno del Metabolismo de las Lipoproteinas                                      
E802  ,Otras Porfirias                                                                                     
E86X  ,Deshidratacion / Deplecion del Volumen                                                              
F206  ,Esquizofrenia Simple                                                                                
F28X  ,Otros Trastornos Psicoticos no Organicos                                                            
F411  ,Trastorno de Ansiedad Generalizada                                                                  
F412  ,Trastorno Mixto de Ansiedad y depresion                                                             
F419  ,Trastorno de Ansiedad                                                               
